都道府県名,陽性者数,検査人数,%
北海道,615,5362,11.5%
青森,22,540,4.1%
岩手,0,300,0.0%
宮城,85,1568,5.4%
秋田,16,786,2.0%
山形,66,1947,3.4%
福島,69,1585,4.4%
茨城,161,4031,4.0%
栃木,52,1673,3.1%
群馬,141,2448,5.8%
埼玉,806,6256,12.9%
千葉,786,5163,14.4%
東京,3922,9827,39.9%
神奈川,959,5075,17.5%
新潟,69,2491,2.8%
富山,177,1885,9.4%
石川,229,1424,16.1%
福井,121,1313,9.2%
山梨,51,1922,2.7%
長野,66,1553,4.2%
岐阜,146,2272,6.4%
静岡,63,2366,2.7%
愛知,476,6488,7.3%
三重,45,1653,2.7%
滋賀,94,1141,8.2%
京都,294,3614,8.1%
大阪,1493,6937,19.7%
兵庫,627,6831,9.2%
奈良,76,1173,6.5%
和歌山,58,2563,2.3%
鳥取,3,971,0.3%
島根,22,757,2.9%
岡山,22,1041,2.1%
広島,145,4245,3.4%
山口,31,1251,2.5%
徳島,5,386,1.3%
香川,28,1427,2.0%
愛媛,47,1002,4.7%
高知,73,1344,5.4%
福岡,606,8000,7.6%
佐賀,36,750,4.8%
長崎,16,1728,0.9%
熊本,45,2623,1.7%
大分,60,2910,2.1%
宮崎,17,1010,1.7%
鹿児島,10,1109,0.9%
沖縄,133,1715,7.8%
長崎船,148,,
合計,13232,124456,10.4%
